,"up, down, left, right"
0,"[1.09000464e-44, 1.00641148e-10, 1.09000464e-44, -0.000321541144]"
1,"[0.0, 0.0, 0.0, 0.0]"
2,"[0.0, 0.0, -0.000107515917, 0.0]"
3,"[0.0, 0.0, 0.0, 0.0]"
4,"[3.81987286e-36, 3.81987286e-36, 3.81987286e-36, 8.98796769e-08]"
5,"[2.89655675e-36, -0.000186868914, 2.89655675e-36, 2.53432775e-07]"
6,"[3.65488986e-35, 6.94027309e-07, 3.65488986e-35, 3.65488986e-35]"
7,"[0.0, 0.0, 0.0, 0.0]"
8,"[0.0, 0.0, 0.0, 0.0]"
9,"[0.0, 0.0, 0.0, 0.0]"
10,"[1.13392088e-52, 1.13392088e-52, 1.13392088e-52, 3.33370387e-10]"
11,"[-3.63524213e-06, 8.98982983e-46, 8.98982983e-46, 1.07669716e-09]"
12,"[7.94480729e-48, 7.94480729e-48, 7.94480729e-48, 3.38860781e-09]"
13,"[2.65218349e-47, 2.65218349e-47, 2.65218349e-47, 1.03859243e-08]"
14,"[3.09804891e-08, 2.28652307e-39, 2.28652307e-39, -1.2021127e-05]"
15,"[0.0, 0.0, 0.0, 0.0]"
16,"[1.89311451e-33, 1.89311451e-33, -7.79469257e-05, 1.84447734e-06]"
17,"[9.18406367e-31, 9.18406367e-31, 9.18406367e-31, 4.75345236e-06]"
18,"[2.09891517e-29, 1.18693074e-05, 2.09891517e-29, 2.09891517e-29]"
19,"[0.0, 0.0, 0.0, 0.0]"
20,"[0.0, -4.43986626e-05, 0.0, 0.0]"
21,"[0.0, -2.85613028e-06, 0.0, 0.0]"
22,"[0.0, 0.0, 0.0, 0.0]"
23,"[0.0, -5.01426308e-06, 0.0, 0.0]"
24,"[0.0, -8.97235123e-05, 0.0, -8.97235123e-05]"
25,"[0.0, 0.0, 0.0, 0.0]"
26,"[0.0, -0.000434691066, -0.000430344155, 0.0]"
27,"[0.0, 0.0, 0.0, 0.0]"
28,"[4.56373982e-31, 4.56373982e-31, 4.56373982e-31, 2.8691189e-05]"
29,"[2.05723479e-30, 6.70796098e-05, 2.05723479e-30, 2.05723479e-30]"
30,"[0.0, 0.0, 0.0, 0.0]"
31,"[0.0, 0.0, 0.0, 0.0]"
32,"[0.0, -0.000835397297, -0.000835397297, -0.000835397297]"
33,"[0.0, 0.0, 0.0, 0.0]"
34,"[0.0, 0.0, 0.0, 0.0]"
35,"[-0.00598956006, 0.0, -0.00598956006, -0.00598956006]"
36,"[0.0, 0.0, 0.0, 0.0]"
37,"[0.0, -0.000683277245, -0.00069715054, 0.0]"
38,"[0.0, -0.000139623238, 0.0, 0.0]"
39,"[1.35738372e-26, 0.00015154762, 1.35738372e-26, 1.35738372e-26]"
40,"[-0.00465880775, 0.0, 0.0, 0.0]"
41,"[-0.00412949671, 0.0, 0.0, -0.00408820174]"
42,"[0.0, 0.0, 0.0, 0.0]"
43,"[-0.00696413218, 0.0, -0.00696413218, -0.00696413218]"
44,"[0.0, 0.0, 0.0, 0.0]"
45,"[0.0, 0.0, -0.00314809173, -0.00314809173]"
46,"[0.0, 0.0, 0.0, 0.0]"
47,"[0.0, 0.0, 0.0, 0.0]"
48,"[0.0, 0.0, 0.0, 0.0]"
49,"[1.36961955e-24, 0.00033052873, -0.000887323325, 1.36961955e-24]"
50,"[0.0, 2.28767925e-31, 0.0, 0.0]"
51,"[0.0, 0.0, 0.0, -0.00281860696]"
52,"[0.0, 0.0, 0.0, 0.0]"
53,"[0.0, 0.0, -0.00381047118, -0.00381047118]"
54,"[0.0, 0.0, 0.0, 0.0]"
55,"[0.0, 4.7875546e-37, -0.00198274257, 0.0]"
56,"[-0.00139475569, 0.0, 5.11850517e-40, 0.0]"
57,"[-0.0019046146, 0.0, 0.0, 0.0]"
58,"[-0.00117569981, 0.0, 0.0, 0.0]"
59,"[1.81081604e-24, 0.000695256036, 1.81081604e-24, 1.81081604e-24]"
60,"[0.0, 3.77670933e-28, 0.0, 0.0]"
61,"[0.0, 2.35647282e-29, 0.0, 0.0]"
62,"[-0.00302404436, 0.0, 0.0, 0.0]"
63,"[0.0, 1.1975056e-32, 0.0, 0.0]"
64,"[-0.00217044897, 0.0266391615, 2.01137147e-16, 2.01137147e-16]"
